date,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2018-08-12,3,8,2018,12,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-13,3,8,2018,13,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-14,3,8,2018,14,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-15,3,8,2018,15,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-16,3,8,2018,16,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-17,3,8,2018,17,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-18,3,8,2018,18,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-19,3,8,2018,19,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-20,3,8,2018,20,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-21,3,8,2018,21,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-22,3,8,2018,22,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-23,3,8,2018,23,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-24,3,8,2018,24,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-25,3,8,2018,25,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-26,3,8,2018,26,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-27,3,8,2018,27,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
2018-08-28,3,8,2018,28,2132567.90921519,7933.062684365782,680.8,611.8000000000001,7797.0,2382.0,1260.0,4564.0,567000000.0,58375433.75,366406873.74,146268602.59,421.5858672408502,133.7836220213708,40.25000000000004,43.26341463414639,44.47073170731704,17786793.0,5941642.0,156.76124270027861,128.13426617891568,240.35310946196657,1334.434843922652,1194.0065358425413,23577.637443370164,74414.83040745856,71560.84674723758,31.89999999999999,12.2,64.3711424042272,156.08759631024097,146.39528212767513,101.06803813908886,15.676822336453315
