date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2013-03-01,100.35,100.41,100.18,100.33,100.39,100.17
2013-04-01,100.6,100.63,100.6,100.44,100.34,100.21
2013-05-01,101.12,100.87,101.12,100.62,100.45,100.22
2013-06-01,100.61,100.69,100.43,100.59,100.57,100.27
2013-07-01,100.16,101.31,100.43,101.06,101.09,100.9
2013-08-01,100.18,100.11,100.44,99.78,100.18,100.45
2013-09-01,100.11,100.31,100.29,99.85,100.4,100.06
2013-10-01,100.6,100.5,100.55,100.5,100.67,100.46
2013-11-01,100.46,100.36,100.64,100.66,100.55,100.67
2013-12-01,100.54,100.67,100.64,100.41,100.48,100.83
2014-01-01,100.58,100.51,100.72,100.73,100.86,100.65
2014-02-01,100.85,100.76,100.81,100.64,100.7,100.45
2014-03-01,100.93,101.05,100.88,101.02,101.3,100.74
2014-04-01,100.91,100.99,101.2,100.93,100.84,100.66
2014-05-01,101.22,101.76,101.3,100.68,101.01,100.7
2014-06-01,101.26,100.69,100.74,100.73,100.44,100.77
2014-07-01,100.07,100.49,100.5,100.4,100.45,100.62
2014-08-01,100.2,100.06,100.54,100.23,100.19,100.28
2014-09-01,100.88,100.34,101.06,100.7,100.62,100.21
2014-10-01,100.97,100.94,100.63,100.71,100.67,100.71
2014-11-01,101.29,101.01,101.48,101.68,101.21,101.18
2014-12-01,102.08,103.01,101.73,102.22,102.56,102.5
2015-01-01,103.58,102.89,104.25,103.37,104.76,103.75
2015-02-01,102.4,101.91,101.92,102.27,102.41,101.72
2015-03-01,101.19,101.25,101.09,100.96,100.79,101.06
2015-04-01,100.5,100.61,100.88,100.43,100.18,100.51
2015-05-01,100.55,100.66,100.28,100.15,100.11,100.34
2015-06-01,100.15,100.54,99.9,100.07,100.07,100.71
2015-07-01,100.13,100.95,100.6,100.7,101.02,100.19
2015-08-01,100.15,100.93,100.27,100.43,100.59,100.76
2015-09-01,100.68,100.65,100.53,100.79,100.24,100.33
2015-10-01,100.92,100.67,101.15,100.34,100.57,100.62
2015-11-01,100.71,101.05,100.57,100.45,100.46,100.54
2015-12-01,100.55,100.95,100.68,100.5,100.42,100.89
2016-01-01,101.02,101.33,100.9,100.78,100.99,101.28
2016-02-01,100.64,100.7,100.61,100.63,100.53,100.63
2016-03-01,100.38,100.53,100.5,100.36,100.28,100.22
2016-04-01,100.47,100.53,100.67,100.46,100.19,100.5
2016-05-01,100.62,100.6,100.52,100.38,100.49,100.13
2016-06-01,100.36,100.59,100.38,100.77,100.31,100.67
2016-07-01,100.26,100.7,100.42,100.25,100.9,100.09
2016-08-01,100.06,99.98,100.09,99.96,100.04,100.22
2016-09-01,100.16,99.94,100.23,100.44,100.09,100.19
2016-10-01,100.31,100.31,100.48,100.12,100.49,100.32
2016-11-01,100.33,100.5,100.44,100.43,100.53,100.39
2016-12-01,100.44,100.35,100.59,100.25,100.4,100.12
2017-01-01,100.46,100.63,100.42,100.43,100.83,100.5
2017-02-01,100.21,100.21,100.11,100.04,100.11,100
2017-03-01,100.07,100.1,100.19,100.2,100.08,100.22
2017-04-01,100.6,100.18,100.5,100.41,100.3,100.29
2017-05-01,101.12,100.57,100.93,100.2,100.71,100.29
2017-06-01,100.53,100.98,100.56,100.91,100.49,100.36
2017-07-01,99.31,100.26,99.75,99.27,100.26,100.23
2017-08-01,99.09,99.08,99.47,99.59,99.83,99.87
2017-09-01,99.74,99.75,99.79,99.81,99.78,100.05
2017-10-01,100.17,100.14,100.21,100.25,100.03,100.07
2017-11-01,100.07,100.43,100.06,100.1,100.26,100.05
2017-12-01,100.25,100.84,100.25,100.4,100.39,100.38
2018-01-01,100.55,100.46,100.5,100.07,100.48,100.36
2018-02-01,100.38,100.04,99.99,100.36,100.31,100.25
2018-03-01,100.45,100.45,100.05,100.22,100.52,100.22
2018-04-01,100.26,100.84,100.41,100.29,100.51,100.21
2018-05-01,99.96,100.73,100.42,100.24,100.17,100.2
2018-06-01,100.39,100.53,100.43,100.53,100.86,100.55
2018-07-01,99.93,100.4,100.13,100.46,100.44,100.33
2018-08-01,99.85,99.98,100.32,99.88,99.77,100.2
2018-09-01,100.18,99.85,100.29,100.25,100.15,99.94
2018-10-01,100.74,100.24,100.16,100.45,100.5,100.2
2018-11-01,100.65,100.68,100.59,100.51,100.2,100.31
2018-12-01,101.07,101,100.9,100.93,100.7,100.66
2019-01-01,100.98,101.15,101.01,100.86,101.19,100.92
2019-02-01,100.2,100.41,100.4,100.52,100.34,100.42
2019-03-01,100.48,100.26,100.3,100.21,100.32,100.16
2019-04-01,100.38,100.17,100.4,100.19,100.4,100.29
2019-05-01,100.68,100.33,100.36,100.39,100.47,100.1
2019-06-01,99.68,100.26,99.98,100.19,99.87,100.35
2019-07-01,99.89,100.19,100.19,100.28,100.3,100.35
2019-08-01,99.78,99.69,99.9,99.62,99.63,99.98
2019-09-01,99.95,99.53,99.61,99.87,99.75,99.68
2019-10-01,100.03,100.04,99.88,100.47,100.24,99.99
2019-11-01,100.21,100.26,100.25,100.01,100.32,100.36
2019-12-01,100.42,100.3,100.25,100.23,100.16,100.43
2020-01-01,100.32,100.25,100.37,100.34,100.66,100.43
2020-02-01,100.26,100.32,100.33,100.39,100.01,100.15
2020-03-01,100.61,100.37,100.65,100.8,100.98,100.5
2020-04-01,101.02,100.65,101.1,101.09,101.14,100.76
2020-05-01,100.36,100.43,100.11,100.17,100.26,100.25
2020-06-01,100.5,100.35,100.08,100.11,100.35,100.28
2020-07-01,100.04,100.28,100.44,100.22,100.34,100.58
2020-08-01,99.85,99.77,100.42,99.99,99.7,100.12
2020-09-01,99.93,99.79,99.8,100.07,100.14,99.76
2020-10-01,100.43,100.59,100.35,100.45,100.64,100.37
2020-11-01,100.7,100.74,100.76,100.65,100.84,100.58
2020-12-01,101.06,101.07,100.57,100.64,100.57,100.7
2021-01-01,100.52,100.57,100.8,100.54,100.8,100.41
2021-02-01,100.64,100.77,100.94,100.53,100.67,100.78
2021-03-01,100.92,100.67,100.85,100.62,100.81,100.82
2021-04-01,100.66,100.55,100.83,101.03,100.45,100.41
2021-05-01,100.63,101.16,100.69,100.99,100.96,100.41
2021-06-01,100.7,101.12,101.11,100.77,100.63,100.46
