year_month,avg_salary,count_in_day,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Республика Башкортостан_Индекс потребительских цен на товары и услуги,Республика Башкортостан_Индекс промышленного производства (по месяцам),Республика Башкортостан_Коэффициент ликвидации организаций (по месяцам),Республика Башкортостан_Коэффициент рождаемости организаций на организаций по субъектам Российской Федерации,Республика Башкортостан_Оборот розничной торговли (в % к пред месяцу),Республика Башкортостан_Объем платных услуг населению,Республика Башкортостан_Численность зарегистрированных безработных (по месяцам),Республика Башкортостан_Cреднедушевые денежные доходы,Республика Башкортостан_Индекс производства продукции сельского хозяйства (поквартально),Республика Башкортостан_Количество организаций,Республика Башкортостан_Уровень безработицы (по методологии МОТ),Республика Башкортостан_Численность безработных (МОТ),Республика Башкортостан_Численность занятых (по обследованиям),Республика Башкортостан_Численность принятых работников (по кварталам),Республика Башкортостан_Численность рабочей силы,Республика Башкортостан_Численность требуемых работников на вакантные рабочие места,Республика Башкортостан__ВРП на душу населения,Республика Башкортостан__Численность населения на январ,Республика Башкортостан_Динамика инвестиций в ОК (%),Республика Башкортостан_Доля инвестиций в ОК к ВРП,Республика Башкортостан_Индекс физического объема ВРП,Республика Башкортостан_Количество активных предприятий,Республика Башкортостан_Количество умерших предприятий,Республика Башкортостан_Коэффициент миграционного прироста,Республика Башкортостан_Коэффициент напряженности на рынке труда,Республика Башкортостан_Наличие основных фондов,Республика Башкортостан_Показатели предпринимательской активности _акти,Республика Башкортостан_Показатели предпринимательской активности _рос,Республика Башкортостан_Показатели предпринимательской активности _уга,Республика Башкортостан_Потребительские расходы в среднем на душу населения,Республика Башкортостан_Потребность в работниках,Республика Башкортостан_Степень износа ОФ,"Республика Башкортостан_Численность обучающихся (квалиф рабочие, служащие)"
2022-10,50541.66666666666,13.083333333333336,4.0,10.0,2022.0,16.0,2125736.3752255733,7656.1316738427895,1511.4031187086518,1218.667442624375,16169.974249226467,4708.87393614021,1259.547744780324,6066.568858498054,517793232.5915191,78246888.77367382,295523258.0615711,126368638.95186087,466.4164022722314,90.97298244181809,45.83799498832676,49.221163309962854,51.065154040526416,21874481.81069089,4629585.463414466,219.76901127845105,145.59984374995506,240.91206368649415,346.83607552667445,304.5774888974228,23634.73845657537,74999.74310176293,73446.44082450763,72.99631823130258,30.54411394787969,66.44925858958939,200.54803329551441,192.74679995960327,109.97209376515016,16.111882171744515,100.92545188894516,104.12707729057665,14.77718603149998,6.378028176922076,107.27604301147964,100.16204137406156,32481.751499703594,41417.40345406645,99.69102035912012,72464.46907447961,77.8140987985643,77.8140987985643,1818.032617400888,49.604157701783855,1906.3830471629221,26.70105542933573,430293.6795657016,4034.117281137624,107.04713217420952,20.24844092393483,99.78163568773235,58325.257200741835,8270.53648642088,28.327570158824052,1.7623174260710546,7935493.755165801,59692.4143887937,8962.49281045398,1563.5583319882896,25185.667812335567,45708.79762824689,42.81202525444829,25764.030366732797
2022-11,,,4.0,11.0,2022.0,15.5,2149188.2584567647,7800.339209642012,1509.6862895349084,1217.403624127816,16116.918550086424,4711.569596897043,1292.2412351055198,5988.268701241342,787800062.7964952,53933149.52336364,449687922.6028538,49476396.50819802,466.3823400108177,90.95278494012892,45.588723063874205,49.14329083645802,52.07435619248533,21862472.427539546,4625975.356353823,203.93084088895768,144.52289698677112,241.28592915983197,335.84159963259486,283.07850428705495,28036.419256656958,80762.87483001451,76355.49798791848,72.80995148282285,30.23190957462294,62.39454273670695,208.82514961534005,181.941192702751,103.7498510334836,16.348754674016572,101.0990102982008,102.52961823527893,12.503573597460324,6.300303401896097,102.40063644042023,101.686663791381,31282.328062285604,41404.9333968424,99.6836430778418,72446.50371108102,77.7898230762047,77.7898230762047,1818.0277833244704,49.60276101077379,1906.3784747644413,26.569952621924983,430293.60599917284,4034.388308267797,107.04502465865922,20.24330712605439,99.78163568773235,58320.737772468165,8270.525175546907,31.764679634107512,1.7618909635583182,7927040.9156189235,59759.92237833021,8954.848620059442,1565.6552867116238,25185.663868850483,45705.22331212709,42.810385219103175,25763.625488046182
2022-12,,,4.0,12.0,2022.0,15.754098360655734,2488931.29841834,7715.080219528898,1507.9949226885278,1216.1577528621888,19331.471050196007,5454.996099388285,1512.3276234483121,7250.633392287373,2466411929.5692873,135761502.57526132,1411991480.5471902,784319806.174163,466.34837778412736,90.93271841051028,45.793281738244865,49.143341309389676,52.774820643080176,21850564.454919074,4622410.919273437,175.86449813324487,159.01191164974847,241.28580849839645,339.65812670059614,284.7188076198457,23545.071478240567,83866.70626947687,77967.45685769964,72.62705441203137,29.933159378762852,65.7530809381537,230.92390236653068,167.54541711706733,111.17306342528705,15.794227073675588,101.00412025291912,108.18786184008732,10.035200700199587,6.757172242799633,107.73573223610448,103.18789885453992,31874.287434749745,41392.5459773315,99.67624526017171,72428.45517526344,77.76542209391305,77.76542209391305,1818.0229468280365,49.60136682812102,1906.3738997947294,26.442758441809605,430293.5324215282,4034.644644606801,107.04292158657593,20.238207923270593,99.78163568773235,58316.20544084656,8270.513870906454,35.85164649829612,1.7614625582179917,7918726.841012563,59821.23658189378,8947.097860738711,1567.6736730869786,25185.65992479483,45701.66084930805,42.80874044941636,25763.219860070516
2023-01,,,1.0,1.0,2023.0,16.0,2375785.9284472307,6989.078998428839,958.1268661607023,877.6736726748708,9218.702216011723,3208.969475720551,771.0849063058305,3514.515729344721,7263162.04712162,2357875.7320276126,1563245.761370104,958636.536049172,319.9822970114066,116.26317892966641,45.93237393739617,49.048484740302364,52.840280933482205,15073654.561705787,6066179.3210781235,229.71388356369945,194.84678358236042,241.47289807325367,457.7426301410634,402.1629304787934,23906.50633032952,88185.39048698744,81298.15915660077,26.976704203558825,21.97298241605764,62.1173924454998,250.8845162033588,229.2541924526495,156.23620882139818,15.445308795577187,100.93305664550718,105.77927967546611,14.014449189377912,3.8336150689212585,71.88294288068947,102.5221734533627,39120.97657937805,30651.33262127852,96.67582786876491,71864.1848780592,77.6687956665892,77.6687956665892,1816.6396263835468,47.89284480297419,1919.195545839284,28.194852365991405,433031.7853253776,4025.7473661272293,107.76726289963068,20.233456416683122,103.79604115853864,57525.170571778086,8309.320533564603,19.581750507192982,1.823042997725674,8557899.512944913,58854.205624139184,9385.438017328383,1413.5641447471523,25393.14214817165,45873.26335767735,42.48269578534524,25756.98859411284
2023-02,,,1.0,2.0,2023.0,14.5,2194616.4513196377,6987.203144570373,957.1821304600132,876.8688898923751,13125.452803485327,3918.975708999375,1006.8631809597588,4752.6336855773825,38126784.67474964,8254783.641019719,23349379.27173023,2386927.88605467,319.96708604003896,116.22265348452405,45.79629999841408,48.898244677912906,54.5711778888327,15058881.810484204,6058730.078810632,175.47099512553189,143.03390541121158,242.22499555683655,572.7059406916636,465.6998729040692,31230.934193914232,85895.11306679992,80588.57703763187,26.920358992078686,21.88851812817853,62.11574733185317,203.8323460346819,191.43101488843308,104.59911230492509,15.439589214561565,101.21225656309795,105.49928458092545,10.409461517359416,6.728712766255724,91.9542696208349,101.79275783160105,42351.58853703689,30631.3413257217,96.67094038526129,71853.38532801169,77.64733393594011,77.64733393594011,1816.6382339330728,47.8915118314188,1919.191841806564,28.12561176619923,433031.7257356764,4026.063706251416,107.76444543354565,20.228626425570365,103.7960411585368,57517.893806734675,8309.31302708907,21.358697147520076,1.8224328853764988,8546006.736784576,58888.43781968167,9419.631229749692,1534.4086687357026,25393.138944646842,45870.525237802314,42.48051252326896,25756.189279618862
2023-03,,,1.0,3.0,2023.0,16.0,2348032.081688619,7408.955944614148,956.2503419584875,876.0747179146211,15671.115884378974,4395.800839769532,1127.0490342932926,5577.180376469326,155699076.90846112,12914206.4887464,125785676.19792564,3499715.259848121,319.9519185201687,116.18239347677476,46.140347393967104,49.233676595847854,53.599615131983526,15044242.94110107,6051376.5781814875,192.83301361515998,142.91161460449675,242.22475261546853,531.7276745203056,423.3994408749527,35444.15892435144,87568.19883205649,79861.91812635091,26.86498569513799,21.806489787662663,62.114099814767,206.1647816553915,207.99836057677413,105.98234887369236,15.388318035133695,101.0841019091592,104.88305200257281,11.24786921457061,5.7426428129506855,107.19302254492891,103.3493291415872,43071.90226089752,30611.494770641562,96.6660389295398,71842.53313527795,77.62575861207232,77.62575861207232,1816.636840779557,47.890181238179046,1919.1881356793285,27.984795506644073,433031.6661369579,4026.363288807931,107.76163391343523,20.2238279219943,103.79604115853635,57510.59676763146,8309.305524737809,23.33673018061405,1.8218200790431165,8534309.858671786,58920.894087843626,9406.700434130933,1592.8081955582686,25393.13574065785,45867.7958980837,42.47832296910981,25755.388503457474
2023-04,,,2.0,4.0,2023.0,15.5,2122816.864259044,7270.530071979049,888.9157969654923,769.4213063702582,12582.587732614882,4063.755279113847,1097.2654349229435,4767.104558572603,201883408.67779118,21356953.08151303,175183162.2583301,8358868.556803628,376.3509728104399,117.82309491515093,46.4578178724276,49.9254698318525,52.52086626480445,17947305.444612727,6002673.686880478,219.1617153958277,150.31250539123468,241.09818883882957,320.4028159892834,262.65731555771214,30197.009835331395,87199.24823159928,86389.21141265705,29.06001856451982,18.953031787796355,61.57232836852428,172.65459928288288,211.4165070545033,105.05171811104714,15.388229517758875,101.37659150486886,103.48039119038224,9.921048488453236,5.6630064732147085,98.47653548716637,103.02726068982791,47030.383812938875,32073.068257165767,95.69125609717756,71397.65967470099,79.59046818978709,79.59046818978709,1809.1030319997049,48.505346433438326,1893.6295339081275,30.222596745531675,433031.60652922,4026.6474770159966,107.75882832049679,20.219060599046376,103.7960411585368,57503.27936962082,8309.298026507411,25.55203039950128,1.8212045608428948,8522804.077890439,58951.716652972944,9392.836298158361,1595.4312700119756,25393.13253620461,45865.07529635693,42.476127095628186,25754.5862616157
2023-05,,,2.0,5.0,2023.0,16.0,1964371.248120213,8089.492150815086,886.1283660108148,767.809621633626,9569.166095561954,3379.590740543301,997.147054919112,3639.4080428718667,339116180.4409108,14906943.569891354,276199463.5437268,13398827.921730805,376.342251649372,117.797230149276,46.00984744689941,49.194834830504895,52.479259080525075,17944480.84074541,5998263.883316946,176.24512806729126,158.17414736880292,241.09809261381022,307.3954260264107,240.55332931594555,38608.172987751605,84502.87907886902,79661.96554139357,29.02492714988279,18.612051758460513,61.57029872182304,166.4432032796871,174.34929922201232,104.95152363724571,15.388140946050514,101.08106383582536,105.59666263195886,8.674157677614097,4.222353697323515,105.14921885204004,103.02508796946528,43571.90201848269,32057.339465250767,95.68182047964962,71386.76724148936,79.55543296745749,79.55543296745749,1809.1002628350607,48.50446061686052,1893.627697214633,30.032775966104488,433031.54691246094,4027.754402119744,107.75602863600687,20.214324153793708,103.79604115853772,57495.941527381015,8309.29053239449,28.05001223980854,1.8205863127345805,8511484.749316487,58981.032295857534,9378.777543195018,1597.9623558201588,25393.129331286982,45862.36339072704,42.473924875427095,25753.782550065825
2023-06,,,2.0,6.0,2023.0,15.5,1936955.915956723,7262.3523336492335,883.3902977731493,766.2226009126033,12876.406385473558,4383.095818825075,1076.7392529737417,5110.254610460697,389435778.28435946,23028187.102538466,278719475.8139358,78523480.91495024,376.3335548785325,117.7715268623643,47.03810768170457,50.44920232579644,53.44355613140046,17931949.811610788,5993905.773897437,188.55785182816254,164.5976643412541,241.09799641364208,294.04999804283693,227.6927778390213,36699.60586195175,88037.2967232459,79212.11600058105,28.99037169951511,18.289833592857143,62.10914279008582,190.2656795522053,179.08949247532982,112.35875339444522,15.052845585445194,100.87958818206707,109.2204306062032,10.105327045722307,4.85425265635097,104.94674482124144,100.32307189106098,41905.62835058515,32041.718687243607,95.67235867390535,71375.82132174788,79.52022207270977,79.52022207270977,1809.0974922754508,48.503576359904784,1893.6258594781216,29.821891211293913,433031.4872866782,4030.0487957891332,107.75323484132065,20.209618287214894,103.79604115853635,57488.583155112814,8309.283042395653,30.88847015409863,1.8199653165165304,8500347.377165167,59020.478205157,9364.535578325935,1600.4064529194281,25393.126125904888,45859.66013956637,42.47171628095083,25752.977364765404
2023-07,,,3.0,7.0,2023.0,16.0,2005345.6673122118,7032.840096402499,1039.3148884417571,907.7945871973607,15175.853671007593,3415.3717929253194,906.4991700054956,5632.284022669439,552545941.1023022,35497719.6339449,422684233.7706525,113311476.50377956,436.9356579218843,177.22670152170514,46.93197366533421,50.236197938632095,53.3188542114432,21167028.138644345,9021816.137788096,221.3404326597768,149.44771158694672,241.0979002383155,280.3531810802674,214.48054642200253,33022.641196916935,88750.65929677844,80096.41924827993,51.134785830641185,26.82844483145757,62.10748560637869,189.8896507762408,186.5370902404564,112.33777027935051,15.387963639432938,100.73638341300615,109.34244577759677,10.647392655983232,4.612878099664477,107.98475427440776,104.12767865457208,45110.05008071687,34388.754756114264,93.32962982513807,71109.75164772451,81.09830837906466,81.09830837906466,1813.6669063060128,50.62553481618443,1909.414491695097,30.51733861154009,433031.42765187006,4031.961362937894,107.75044691787173,20.204942704137125,103.79604115853544,57481.20416653629,8309.275556507513,34.14210563451359,1.8193415538249305,8489387.609037325,59223.676066956235,9350.109078247839,1602.7681937818504,25393.12292005821,45856.965501512575,42.469501284484025,25752.170701657127
