date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2020-12-09,4,12,2020,9,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-10,4,12,2020,10,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-11,4,12,2020,11,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-13,4,12,2020,13,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-14,4,12,2020,14,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-15,4,12,2020,15,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-16,4,12,2020,16,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-17,4,12,2020,17,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-18,4,12,2020,18,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-20,4,12,2020,20,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-21,4,12,2020,21,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-22,4,12,2020,22,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-23,4,12,2020,23,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-24,4,12,2020,24,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-25,4,12,2020,25,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
2020-12-26,4,12,2020,26,33.3,3418342.653999995,3601.0,861.4000000000001,732.9000000000001,10898.0,2212.0,904.0,6137.0,1958048569.82,327139851.56999993,338755117.19,1279736406.4399996,243.16665206133428,59.514158195248406,40.28147928994081,44.08038011695908,47.66624548736463,10255302.6,2806425.3000000007,124.4193548387097,115.8709677419355,183.9,608.1333,523.2333,51798.73,41848.37,19.89999999999999,68.06451612903226,196.9032258064516,137.7096774193548,85.0,17.17
