date,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2021-09-28,3,9,2021,28,1387656.586,952.9174311926604,967.7,9830.0,42569.0,2975.0,1014.0,3930.0,475770630.17999935,36825353.410000026,362697610.47000027,76247666.29999995,436.9727096045461,140.84406260832012,46.42938461538459,51.37416361416287,48.58031788079451,21359560.4,6847476.5,184.4,122.26666666666668,1257.885,14543.0,73.93333333333334,172.13333333333333,166.1,110.73333333333332,19.37966667,859.0
2021-09-29,3,9,2021,29,1387656.586,952.9174311926604,967.7,9830.0,42569.0,2975.0,1014.0,3930.0,475770630.17999935,36825353.410000026,362697610.47000027,76247666.29999995,436.9727096045461,140.84406260832012,46.42938461538459,51.37416361416287,48.58031788079451,21359560.4,6847476.5,184.4,122.26666666666668,1257.885,14543.0,73.93333333333334,172.13333333333333,166.1,110.73333333333332,19.37966667,859.0
2021-09-30,3,9,2021,30,1387656.586,952.9174311926604,967.7,9830.0,42569.0,2975.0,1014.0,3930.0,475770630.17999935,36825353.410000026,362697610.47000027,76247666.29999995,436.9727096045461,140.84406260832012,46.42938461538459,51.37416361416287,48.58031788079451,21359560.4,6847476.5,184.4,122.26666666666668,1257.885,14543.0,73.93333333333334,172.13333333333333,166.1,110.73333333333332,19.37966667,859.0
2021-10-01,4,10,2021,1,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-02,4,10,2021,2,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-03,4,10,2021,3,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-04,4,10,2021,4,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-05,4,10,2021,5,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-06,4,10,2021,6,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-07,4,10,2021,7,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
