date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2021-12-25,4,12,2021,25,7.100000000000003,2579566.8209999977,37821.0,1710.7951465201463,63231.0,1743.0,5637.0,1396043960.87,356798690.0999999,734986221.4200001,303897181.87,735.7638812746994,332.56993265481793,52.30499999999999,48.025,50.2725,36460166.0,16419809.0,248.67741935483872,129.09677419354838,273.21,859.49,732.52,31613.67,118047.72,160869.37,94.3,78.62069,195.7741935483871,196.25806451612905,109.5483870967742,16.90903226,594.0
2021-12-26,4,12,2021,26,7.100000000000003,2579566.8209999977,37821.0,1710.7951465201463,63231.0,1743.0,5637.0,1396043960.87,356798690.0999999,734986221.4200001,303897181.87,735.7638812746994,332.56993265481793,52.30499999999999,48.025,50.2725,36460166.0,16419809.0,248.67741935483872,129.09677419354838,273.21,859.49,732.52,31613.67,118047.72,160869.37,94.3,78.62069,195.7741935483871,196.25806451612905,109.5483870967742,16.90903226,594.0
2021-12-27,4,12,2021,27,7.100000000000003,2579566.8209999977,37821.0,1710.7951465201463,63231.0,1743.0,5637.0,1396043960.87,356798690.0999999,734986221.4200001,303897181.87,735.7638812746994,332.56993265481793,52.30499999999999,48.025,50.2725,36460166.0,16419809.0,248.67741935483872,129.09677419354838,273.21,859.49,732.52,31613.67,118047.72,160869.37,94.3,78.62069,195.7741935483871,196.25806451612905,109.5483870967742,16.90903226,594.0
2021-12-28,4,12,2021,28,7.100000000000003,2579566.8209999977,37821.0,1710.7951465201463,63231.0,1743.0,5637.0,1396043960.87,356798690.0999999,734986221.4200001,303897181.87,735.7638812746994,332.56993265481793,52.30499999999999,48.025,50.2725,36460166.0,16419809.0,248.67741935483872,129.09677419354838,273.21,859.49,732.52,31613.67,118047.72,160869.37,94.3,78.62069,195.7741935483871,196.25806451612905,109.5483870967742,16.90903226,594.0
2021-12-29,4,12,2021,29,7.100000000000003,2579566.8209999977,37821.0,1710.7951465201463,63231.0,1743.0,5637.0,1396043960.87,356798690.0999999,734986221.4200001,303897181.87,735.7638812746994,332.56993265481793,52.30499999999999,48.025,50.2725,36460166.0,16419809.0,248.67741935483872,129.09677419354838,273.21,859.49,732.52,31613.67,118047.72,160869.37,94.3,78.62069,195.7741935483871,196.25806451612905,109.5483870967742,16.90903226,594.0
2021-12-30,4,12,2021,30,7.100000000000003,2579566.8209999977,37821.0,1710.7951465201463,63231.0,1743.0,5637.0,1396043960.87,356798690.0999999,734986221.4200001,303897181.87,735.7638812746994,332.56993265481793,52.30499999999999,48.025,50.2725,36460166.0,16419809.0,248.67741935483872,129.09677419354838,273.21,859.49,732.52,31613.67,118047.72,160869.37,94.3,78.62069,195.7741935483871,196.25806451612905,109.5483870967742,16.90903226,594.0
2021-12-31,4,12,2021,31,7.100000000000003,2579566.8209999977,37821.0,1710.7951465201463,63231.0,1743.0,5637.0,1396043960.87,356798690.0999999,734986221.4200001,303897181.87,735.7638812746994,332.56993265481793,52.30499999999999,48.025,50.2725,36460166.0,16419809.0,248.67741935483872,129.09677419354838,273.21,859.49,732.52,31613.67,118047.72,160869.37,94.3,78.62069,195.7741935483871,196.25806451612905,109.5483870967742,16.90903226,594.0
2022-01-02,1,1,2022,2,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-03,1,1,2022,3,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-04,1,1,2022,4,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-05,1,1,2022,5,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-06,1,1,2022,6,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-07,1,1,2022,7,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-08,1,1,2022,8,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-09,1,1,2022,9,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-10,1,1,2022,10,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-11,1,1,2022,11,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-12,1,1,2022,12,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-13,1,1,2022,13,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-14,1,1,2022,14,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-15,1,1,2022,15,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-16,1,1,2022,16,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-17,1,1,2022,17,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-18,1,1,2022,18,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
